case_id,docket_number,court,docket_id,entry_id,entry_number,date_filed,reviewed,bad_ocr,h_scheduled,h_rescheduled,h_held,h_cancelled,d_set,d_rescheduled,d_met_filed,d_cancelled
us-v-ding,3:24-cr-00141,cand,68317014,380436734,1,2024-03-05,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,380436733,3,2024-03-05,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,380436731,5,2024-03-06,1,0,0,1,1,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,380436730,6,2024-03-06,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,380438141,7,2024-03-06,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,380438139,8,2024-03-06,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,380436732,,2024-03-06,1,0,0,1,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,382361246,10,2024-03-27,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,382361237,11,2024-03-27,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,382387579,13,2024-03-27,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,382555835,14,2024-03-29,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,383917853,17,2024-04-01,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,382892391,15,2024-04-02,1,0,0,0,0,1,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,382892374,,2024-04-02,1,0,0,1,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,385155622,16,2024-04-08,1,0,0,1,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,398487933,18,2024-05-22,1,0,0,1,1,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,392190450,19,2024-05-30,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,392236656,20,2024-05-30,1,0,0,0,0,0,0,0,2,0
us-v-ding,3:24-cr-00141,cand,68317014,393137404,21,2024-06-07,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,398487934,22,2024-06-10,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,393494723,23,2024-06-12,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,398487935,24,2024-06-13,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,393649398,25,2024-06-13,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,393649341,26,2024-06-13,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,393677657,27,2024-06-13,1,0,1,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,393774693,28,2024-06-14,1,0,0,0,0,0,2,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,394411273,29,2024-06-21,1,0,0,0,0,0,0,0,0,0
us-v-ding,3:24-cr-00141,cand,68317014,394705766,30,2024-06-25,1,0,0,0,0,0,0,0,0,0
